,encoder_freeze,scratch,measure_size,weights,uncertainty_topk,grad_num,rand_num,T_mc,encoder_lr,cost_predictor_lr,rank_warmup_epochs,lambda_reg,lambda_pair,lambda_infonce,gamma,beta,noise_std,margin_scale,tau,tau_c,feature_predictor_lr,epochs,phase,train_size,top-1,used_time,val_reg_r2,val_rank_r2,sampling_seed
173,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.64,"[0.5623, 0.625]","[None, None]",2013
174,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.3,"[0.5915, 0.7047, 0.6915]","[None, None, None]",2014
175,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.3,"[0.6096, 0.6806, 0.6407]","[None, None, None]",2015
176,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.12,"[0.5922, 0.7023, 0.7191]","[None, None, None]",2016
177,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,12.96,"[0.5508, 0.7017, 0.6771]","[None, None, None]",2017
178,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,3,192,0,13.28,"[0.6067, 0.5741, 0.6352]","[None, None, None]",2018
179,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.1,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.66,"[0.6064, 0.6857]","[None, None]",2019
180,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,4,256,0,18.02,"[0.5726, 0.6544, 0.6531, 0.6948]","[None, None, None, None]",2000
181,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,1,64,0,4.05,[0.5494],[None],2001
182,False,False,64,"(0.4, 0.3, 0.3)",128,4,0,20,1e-05,0.0001,100,0.01,2.0,0.2,0.01,0.01,0.001,0.3,0.05,,0.0,1000,2,128,0,8.37,"[0.6333, 0.6417]","[None, None]",2002
