,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,sampling_seed,rank_warmup_epochs,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2
136,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2016,100,2,0,4,13.41,192,0,"[0.6951, 0.6947, 0.6804, 0.7172]","[None, None, None, None]"
137,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2017,100,2,0,3,9.87,144,0,"[0.5507, 0.7034, 0.7131]","[None, None, None]"
138,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2018,100,2,0,1,3.26,48,0,[0.5698],[None]
139,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2019,100,2,0,3,10.24,144,0,"[0.5236, 0.6617, 0.7235]","[None, None, None]"
140,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2000,100,2,0,5,17.31,240,0,"[0.662, 0.6576, 0.7078, 0.7261, 0.7366]","[None, None, None, None, None]"
141,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2001,100,2,0,6,21.13,288,0,"[0.5861, 0.66, 0.7318, 0.7561, 0.7449, 0.732]","[None, None, None, None, None, None]"
142,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2002,100,2,0,4,13.44,192,0,"[0.685, 0.6878, 0.7237, 0.744]","[None, None, None, None]"
143,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2003,100,2,0,3,10.0,144,0,"[0.6147, 0.6208, 0.6611]","[None, None, None]"
144,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2004,100,2,0,3,10.24,144,0,"[0.6258, 0.6397, 0.6734]","[None, None, None]"
145,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2005,100,2,0,2,6.52,96,0,"[0.6189, 0.6284]","[None, None]"
146,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2006,100,2,0,3,10.07,144,0,"[0.5856, 0.6441, 0.6768]","[None, None, None]"
147,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2007,100,2,0,4,13.65,192,0,"[0.5905, 0.6749, 0.6574, 0.682]","[None, None, None, None]"
148,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2008,100,2,0,6,21.5,288,0,"[0.4405, 0.6069, 0.6722, 0.6982, 0.6953, 0.7312]","[None, None, None, None, None, None]"
149,48,False,False,0.0001,0.001,"(0.7, 0.0, 0.3)",2009,100,2,0,6,21.66,288,0,"[0.673, 0.6796, 0.6974, 0.728, 0.728, 0.7207]","[None, None, None, None, None, None]"
