epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,S,neigh_mean_test,rand_mean_test,neigh_best_mean_test,rand_best_mean_test,win_rate_mean,win_rate_best,avg_gain_mean_test,avg_gain_best_test,seed_mean_train
1000,5e-05,0.0,0.01,0.5,0.0,0.2,184.0,8.156427383422852,5.903433799743652,8.158674240112305,8.399444580078125,1.0,0.29891304347826086,2.2529942989349365,-0.24076998233795166,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.01,0.0,184.0,8.06985092163086,5.903433799743652,8.07340145111084,8.399444580078125,0.9782608695652174,0.33152173913043476,2.166416883468628,-0.32604318857192993,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.01,0.01,184.0,8.106178283691406,5.903433799743652,8.121164321899414,8.399444580078125,0.9836956521739131,0.3423913043478261,2.202744483947754,-0.2782793641090393,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.01,0.1,184.0,8.153154373168945,5.903433799743652,8.159448623657227,8.399444580078125,1.0,0.30978260869565216,2.2497212886810303,-0.239995539188385,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.01,0.2,184.0,8.175602912902832,5.903433799743652,8.178370475769043,8.399444580078125,1.0,0.30434782608695654,2.2721691131591797,-0.22107383608818054,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.1,0.0,184.0,8.078719139099121,5.903433799743652,8.081464767456055,8.399444580078125,0.9836956521739131,0.33152173913043476,2.1752851009368896,-0.31797999143600464,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.1,0.01,184.0,8.086865425109863,5.903433799743652,8.09366226196289,8.399444580078125,0.9836956521739131,0.33152173913043476,2.183431386947632,-0.3057815730571747,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.1,0.1,184.0,8.158465385437012,5.903433799743652,8.162714004516602,8.399444580078125,1.0,0.32065217391304346,2.2550323009490967,-0.2367299497127533,8.242144584655762
1000,5e-05,0.0,0.01,0.5,0.1,0.2,184.0,8.159475326538086,5.903433799743652,8.16042423248291,8.399444580078125,1.0,0.30434782608695654,2.2560417652130127,-0.23901914060115814,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.0,0.0,184.0,8.073681831359863,5.903433799743652,8.10647964477539,8.399444580078125,0.9836956521739131,0.32608695652173914,2.1702475547790527,-0.29296451807022095,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.0,0.01,184.0,8.11746597290039,5.903433799743652,8.137129783630371,8.399444580078125,0.9945652173913043,0.33695652173913043,2.2140326499938965,-0.2623143494129181,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.0,0.1,184.0,8.150071144104004,5.903433799743652,8.1578369140625,8.399444580078125,1.0,0.31521739130434784,2.2466378211975098,-0.24160781502723694,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.0,0.2,184.0,8.18742561340332,5.903433799743652,8.187909126281738,8.399444580078125,1.0,0.32065217391304346,2.283991575241089,-0.21153487265110016,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.01,0.0,184.0,8.103364944458008,5.903433799743652,8.109201431274414,8.399444580078125,0.9836956521739131,0.33695652173913043,2.1999318599700928,-0.2902417480945587,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.01,0.01,184.0,8.11611557006836,5.903433799743652,8.126830101013184,8.399444580078125,0.9945652173913043,0.33695652173913043,2.212681531906128,-0.27261456847190857,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.01,0.1,184.0,8.157120704650879,5.903433799743652,8.17119312286377,8.399444580078125,1.0,0.31521739130434784,2.2536869049072266,-0.2282508760690689,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.01,0.2,184.0,8.192207336425781,5.903433799743652,8.196442604064941,8.399444580078125,1.0,0.33152173913043476,2.2887744903564453,-0.2030019313097,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.1,0.0,184.0,8.077314376831055,5.903433799743652,8.087427139282227,8.399444580078125,0.9782608695652174,0.32065217391304346,2.1738808155059814,-0.3120166063308716,8.242144584655762
1000,5e-05,0.0,0.01,1.0,0.1,0.01,184.0,8.114557266235352,5.903433799743652,8.135705947875977,8.399444580078125,0.9945652173913043,0.33152173913043476,2.2111246585845947,-0.2637382745742798,8.242144584655762
