epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median
1000,5e-05,0.01,0.01,1.0,0.01,0.2,76.0,1.7881,1.6574,0.097,0.4,6.9605,7.0
1000,5e-05,0.01,0.01,1.0,0.1,0.0,200.0,1.7618,1.4215,0.0077,-0.0318,6.015,6.0
1000,5e-05,0.01,0.01,1.0,0.1,0.01,200.0,1.6071,1.3,0.0651,0.1455,6.07,6.0
1000,5e-05,0.01,0.01,1.0,0.1,0.1,136.0,1.9941,1.8339,0.1316,0.4091,6.2059,6.0
1000,5e-05,0.01,0.01,1.0,0.1,0.2,51.0,1.6666,1.3687,0.2506,0.3636,7.3333,8.0
1000,5e-05,0.01,0.1,0.0,0.0,0.0,200.0,1.6784,1.4039,-0.0578,-0.4955,5.875,6.0
1000,5e-05,0.01,0.1,0.0,0.0,0.01,200.0,1.6366,1.462,-0.0526,-0.3864,5.75,6.0
1000,5e-05,0.01,0.1,0.0,0.0,0.1,180.0,1.6345,1.4681,-0.2829,-0.7909,6.5667,7.0
1000,5e-05,0.01,0.1,0.0,0.0,0.2,172.0,1.7436,1.7466,-0.1865,-0.6864,7.1802,7.0
1000,5e-05,0.01,0.1,0.0,0.01,0.0,200.0,1.6132,1.4024,-0.0419,-0.4636,5.665,6.0
1000,5e-05,0.01,0.1,0.0,0.01,0.01,200.0,1.7987,1.4945,-0.0405,-0.3636,5.78,6.0
1000,5e-05,0.01,0.1,0.0,0.01,0.1,164.0,1.6002,1.367,-0.4431,-0.7909,6.5793,7.0
1000,5e-05,0.01,0.1,0.0,0.01,0.2,114.0,1.898,1.9467,-0.5483,-0.8455,7.1754,7.0
1000,5e-05,0.01,0.1,0.0,0.1,0.0,200.0,1.7146,1.5187,-0.0323,-0.3455,5.595,6.0
1000,5e-05,0.01,0.1,0.0,0.1,0.01,200.0,1.8786,1.6344,-0.1031,-0.4727,5.815,6.0
1000,5e-05,0.01,0.1,0.0,0.1,0.1,200.0,1.8937,1.6276,-0.0997,-0.5091,6.39,6.0
1000,5e-05,0.01,0.1,0.0,0.1,0.2,169.0,1.6642,1.5694,-0.2279,-0.8818,7.1716,7.0
1000,5e-05,0.01,0.1,0.1,0.0,0.0,200.0,1.6139,1.3466,-0.0496,-0.5,5.72,6.0
1000,5e-05,0.01,0.1,0.1,0.0,0.01,200.0,1.6904,1.4938,-0.0471,-0.4545,5.91,6.0
1000,5e-05,0.01,0.1,0.1,0.0,0.1,199.0,2.0082,1.9057,-0.3723,-0.7818,6.5779,7.0
1000,5e-05,0.01,0.1,0.1,0.0,0.2,117.0,1.4875,1.4014,-0.4738,-0.8818,7.0769,7.0
1000,5e-05,0.01,0.1,0.1,0.01,0.0,200.0,1.5984,1.3864,-0.0412,-0.45,5.755,6.0
