epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,num_pairs,tv_mean,tv_median,spearman_mean,spearman_median,unique_mean,unique_median,mono_viol_mean,mono_viol_median
1000,5e-05,0.0,0.5,0.1,0.0,0.2,200.0,4.5542,4.529,-0.9945,-1.0,10.675,11.0,0.41,0.0
1000,5e-05,0.0,0.5,0.1,0.01,0.0,200.0,4.4656,4.4064,-0.9822,-0.9909,9.575,10.0,0.255,0.0
1000,5e-05,0.0,0.5,0.1,0.01,0.01,200.0,4.6033,4.475,-0.9855,-0.9909,9.57,10.0,0.245,0.0
1000,5e-05,0.0,0.5,0.1,0.01,0.1,200.0,4.4985,4.5019,-0.9915,-0.9909,10.31,10.0,0.33,0.0
1000,5e-05,0.0,0.5,0.1,0.01,0.2,200.0,4.5866,4.5889,-0.9944,-1.0,10.63,11.0,0.38,0.0
1000,5e-05,0.0,0.5,0.1,0.1,0.0,200.0,4.5619,4.5151,-0.9846,-0.9909,9.54,10.0,0.24,0.0
1000,5e-05,0.0,0.5,0.1,0.1,0.01,200.0,4.4816,4.4416,-0.985,-0.9909,9.61,10.0,0.235,0.0
1000,5e-05,0.0,0.5,0.1,0.1,0.1,200.0,4.5152,4.4833,-0.9904,-1.0,10.325,11.0,0.355,0.0
1000,5e-05,0.0,0.5,0.1,0.1,0.2,200.0,4.5845,4.5802,-0.9941,-1.0,10.65,11.0,0.435,0.0
1000,5e-05,0.0,0.5,0.5,0.0,0.0,200.0,4.4241,4.4079,-0.9844,-0.9909,9.515,10.0,0.32,0.0
1000,5e-05,0.0,0.5,0.5,0.0,0.01,200.0,4.3354,4.3022,-0.9833,-0.9909,9.485,10.0,0.305,0.0
1000,5e-05,0.0,0.5,0.5,0.0,0.1,200.0,4.5294,4.4808,-0.9908,-0.9909,10.235,10.0,0.375,0.0
1000,5e-05,0.0,0.5,0.5,0.0,0.2,200.0,4.562,4.5246,-0.9947,-1.0,10.675,11.0,0.365,0.0
1000,5e-05,0.0,0.5,0.5,0.01,0.0,200.0,4.472,4.4102,-0.9842,-0.9909,9.555,10.0,0.225,0.0
1000,5e-05,0.0,0.5,0.5,0.01,0.01,200.0,4.5626,4.5607,-0.9878,-0.9909,9.68,10.0,0.24,0.0
1000,5e-05,0.0,0.5,0.5,0.01,0.1,200.0,4.5289,4.5285,-0.9912,-0.9909,10.205,10.0,0.345,0.0
1000,5e-05,0.0,0.5,0.5,0.01,0.2,200.0,4.5628,4.5099,-0.9943,-1.0,10.61,11.0,0.405,0.0
1000,5e-05,0.0,0.5,0.5,0.1,0.0,200.0,4.4773,4.3869,-0.9833,-0.9909,9.58,10.0,0.275,0.0
1000,5e-05,0.0,0.5,0.5,0.1,0.01,200.0,4.4368,4.4301,-0.9871,-0.9909,9.615,10.0,0.235,0.0
1000,5e-05,0.0,0.5,0.5,0.1,0.1,200.0,4.4932,4.4939,-0.9905,-0.9909,10.25,10.0,0.35,0.0
1000,5e-05,0.0,0.5,0.5,0.1,0.2,200.0,4.5681,4.5306,-0.9942,-1.0,10.595,11.0,0.345,0.0
1000,5e-05,0.0,0.5,1.0,0.0,0.0,200.0,4.4211,4.2982,-0.9844,-0.9909,9.665,10.0,0.315,0.0
1000,5e-05,0.0,0.5,1.0,0.0,0.01,200.0,4.5706,4.4327,-0.9848,-0.9909,9.675,10.0,0.305,0.0
1000,5e-05,0.0,0.5,1.0,0.0,0.1,200.0,4.503,4.4823,-0.9907,-0.9909,10.335,10.0,0.37,0.0
1000,5e-05,0.0,0.5,1.0,0.0,0.2,200.0,4.562,4.506,-0.9938,-1.0,10.665,11.0,0.445,0.0
1000,5e-05,0.0,0.5,1.0,0.01,0.0,200.0,4.421,4.334,-0.9848,-0.9909,9.56,10.0,0.27,0.0
1000,5e-05,0.0,0.5,1.0,0.01,0.01,200.0,4.4384,4.3909,-0.9846,-0.9909,9.6,10.0,0.24,0.0
1000,5e-05,0.0,0.5,1.0,0.01,0.1,200.0,4.4829,4.4686,-0.9903,-0.9909,10.205,10.0,0.335,0.0
1000,5e-05,0.0,0.5,1.0,0.01,0.2,200.0,4.5515,4.5234,-0.9949,-1.0,10.635,11.0,0.36,0.0
1000,5e-05,0.0,0.5,1.0,0.1,0.0,200.0,4.4203,4.3754,-0.9853,-0.9909,9.565,10.0,0.24,0.0
1000,5e-05,0.0,0.5,1.0,0.1,0.01,200.0,4.5279,4.4845,-0.9828,-0.9909,9.635,10.0,0.27,0.0
