epochs,lr,lambda_kld,lambda_reg,lambda_pair,lambda_smooth,lambda_infonce,val_recon_r2,val_reg_r2
1000,5e-05,0.0,0.5,0.0,0.01,0.0,0.8804895820714231,0.9106201728569557
1000,5e-05,0.0,0.5,0.0,0.01,0.01,0.8809245455200643,0.9104516882521767
1000,5e-05,0.0,0.5,0.0,0.01,0.1,0.8837581359358793,0.9116747600941979
1000,5e-05,0.0,0.5,0.0,0.01,0.2,0.8891636280862795,0.9127743678318924
1000,5e-05,0.0,0.5,0.0,0.1,0.0,0.8791025954064983,0.9110448780065068
1000,5e-05,0.0,0.5,0.0,0.1,0.01,0.8812444349265018,0.9101101269350962
1000,5e-05,0.0,0.5,0.0,0.1,0.1,0.8877088429809101,0.9116809503471217
1000,5e-05,0.0,0.5,0.0,0.1,0.2,0.89265527638963,0.9120851796320769
1000,5e-05,0.0,0.5,0.1,0.0,0.0,0.8811271659859257,0.9103084632241651
1000,5e-05,0.0,0.5,0.1,0.0,0.01,0.8849276589952041,0.91015453184545
1000,5e-05,0.0,0.5,0.1,0.0,0.1,0.8878101064840613,0.9128622914808323
1000,5e-05,0.0,0.5,0.1,0.0,0.2,0.8917263577941923,0.9127719649001744
1000,5e-05,0.0,0.5,0.1,0.01,0.0,0.8813448357645697,0.9100701888147168
1000,5e-05,0.0,0.5,0.1,0.01,0.01,0.8834719240362087,0.9102392519067161
1000,5e-05,0.0,0.5,0.1,0.01,0.1,0.8850803532874904,0.9121845878105358
1000,5e-05,0.0,0.5,0.1,0.01,0.2,0.8936650540376854,0.9135118182417158
1000,5e-05,0.0,0.5,0.1,0.1,0.0,0.879382241160738,0.9100266393052046
1000,5e-05,0.0,0.5,0.1,0.1,0.01,0.8816972088773669,0.91036304539669
1000,5e-05,0.0,0.5,0.1,0.1,0.1,0.8836482154418674,0.912469339846122
1000,5e-05,0.0,0.5,0.1,0.1,0.2,0.889748985067505,0.9127971406581046
1000,5e-05,0.0,0.5,0.5,0.0,0.0,0.880712551037601,0.9109596254872
1000,5e-05,0.0,0.5,0.5,0.0,0.01,0.879474695106736,0.9117465378141401
1000,5e-05,0.0,0.5,0.5,0.0,0.1,0.8835664959828444,0.9134249472923507
1000,5e-05,0.0,0.5,0.5,0.0,0.2,0.8844875069201843,0.9143895581628348
1000,5e-05,0.0,0.5,0.5,0.01,0.0,0.8793689020587516,0.9106907064438083
1000,5e-05,0.0,0.5,0.5,0.01,0.01,0.879988471053728,0.9109680491713649
1000,5e-05,0.0,0.5,0.5,0.01,0.1,0.8801086566193126,0.9131018102416281
1000,5e-05,0.0,0.5,0.5,0.01,0.2,0.887645991879086,0.9150493428773029
1000,5e-05,0.0,0.5,0.5,0.1,0.0,0.8778867039709306,0.9109915199841843
1000,5e-05,0.0,0.5,0.5,0.1,0.01,0.8801301974981679,0.9117357489508358
1000,5e-05,0.0,0.5,0.5,0.1,0.1,0.8856086138854966,0.9127393509494554
1000,5e-05,0.0,0.5,0.5,0.1,0.2,0.8876953393529474,0.9145844654452309
1000,5e-05,0.0,0.5,1.0,0.0,0.0,0.882558419257992,0.9112777615656775
1000,5e-05,0.0,0.5,1.0,0.0,0.01,0.8825832134507902,0.9113889377198222
1000,5e-05,0.0,0.5,1.0,0.0,0.1,0.888567885287016,0.9131673518283044
1000,5e-05,0.0,0.5,1.0,0.0,0.2,0.8889625169773598,0.9153030586293274
1000,5e-05,0.0,0.5,1.0,0.01,0.0,0.8839487132854685,0.9117995782964567
1000,5e-05,0.0,0.5,1.0,0.01,0.01,0.8845939259909856,0.9116471005195793
1000,5e-05,0.0,0.5,1.0,0.01,0.1,0.8900334118142774,0.9134464034353091
1000,5e-05,0.0,0.5,1.0,0.01,0.2,0.887769101640985,0.9146870037255658
1000,5e-05,0.0,0.5,1.0,0.1,0.0,0.8834652078063666,0.9110469391131494
1000,5e-05,0.0,0.5,1.0,0.1,0.01,0.8867627540525413,0.9122374905201442
1000,5e-05,0.0,0.5,1.0,0.1,0.1,0.8877690680293859,0.9137375071611188
1000,5e-05,0.0,0.5,1.0,0.1,0.2,0.8869717139954331,0.915258891844942
1000,5e-05,0.01,0.01,0.0,0.0,0.0,0.9692817905579836,0.8848639842214778
1000,5e-05,0.01,0.01,0.0,0.0,0.01,0.9690284590550573,0.8879810072509566
1000,5e-05,0.01,0.01,0.0,0.0,0.1,0.9626509800909253,0.9002205374494832
1000,5e-05,0.01,0.01,0.0,0.0,0.2,0.9599578236532702,0.9009977229894934
1000,5e-05,0.01,0.01,0.0,0.01,0.0,0.9692560691560895,0.8848299880568371
1000,5e-05,0.01,0.01,0.0,0.01,0.01,0.9692908414040812,0.8881517777321177
1000,5e-05,0.01,0.01,0.0,0.01,0.1,0.9630507136330309,0.8997873066078244
1000,5e-05,0.01,0.01,0.0,0.01,0.2,0.9596472014010384,0.8994754265231083
1000,5e-05,0.01,0.01,0.0,0.1,0.0,0.9697654034233236,0.8839055138379368
1000,5e-05,0.01,0.01,0.0,0.1,0.01,0.9696528004162946,0.888353578652867
1000,5e-05,0.01,0.01,0.0,0.1,0.1,0.9620364673220798,0.8991956641909123
1000,5e-05,0.01,0.01,0.0,0.1,0.2,0.9596314711287747,0.9000179410411508
1000,5e-05,0.01,0.01,0.1,0.0,0.0,0.9695737243501654,0.9091313800730445
1000,5e-05,0.01,0.01,0.1,0.0,0.01,0.96966636354291,0.9112601606021733
1000,5e-05,0.01,0.01,0.1,0.0,0.1,0.9642666834971898,0.9183646551663094
1000,5e-05,0.01,0.01,0.1,0.0,0.2,0.9582739539870568,0.911349859380132
1000,5e-05,0.01,0.01,0.1,0.01,0.0,0.9701970245759507,0.9092003182913801
1000,5e-05,0.01,0.01,0.1,0.01,0.01,0.9687918678888143,0.9117506507663085
1000,5e-05,0.01,0.01,0.1,0.01,0.1,0.9640744337553276,0.9189526388234415
1000,5e-05,0.01,0.01,0.1,0.01,0.2,0.9575623106795625,0.9113942746203253
1000,5e-05,0.01,0.01,0.1,0.1,0.0,0.9697460357635764,0.9095287793279226
1000,5e-05,0.01,0.01,0.1,0.1,0.01,0.9694923630257826,0.9107504852078874
