,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,rank_warmup_epochs,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,top-1,val_reg_r2,val_rank_r2,sampling_seed,lambda_pair,lambda_infonce,tau,tau_c,beta,gamma,noise_std,margin_scale,lambda_reg,feature_predictor_lr,epochs
9399,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,3,8.25,144,0.0,"[0.5536, 0.5293, 0.6116]","[None, None, None]",2005,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9400,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,1,2.71,48,0.0,[0.6185],[None],2006,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9401,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.38,96,0.0,"[0.5872, 0.5305]","[None, None]",2007,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9402,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,3,8.4,144,0.0,"[0.6034, 0.5552, 0.5853]","[None, None, None]",2008,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9403,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,3,8.32,144,0.0,"[0.5279, 0.3379, 0.3785]","[None, None, None]",2009,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9404,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.42,96,1.0,"[0.514, 0.5445]","[None, None]",2010,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9405,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.44,96,1.0,"[0.429, 0.3576]","[None, None]",2011,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9406,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.36,96,0.0,"[0.4883, 0.5047]","[None, None]",2012,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9407,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.35,96,1.0,"[0.5193, 0.5022]","[None, None]",2013,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9408,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,1,2.6,48,0.0,[0.4583],[None],2014,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9409,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.35,96,0.0,"[0.5781, 0.4757]","[None, None]",2015,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9410,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,1,2.69,48,0.0,[0.375],[None],2016,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9411,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.52,96,0.0,"[0.5928, 0.5795]","[None, None]",2017,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
9412,48,False,True,1e-05,0.0001,0,"(0.3, 0.3, 0.4)",0,2,0,2,5.61,96,0.0,"[0.5321, 0.4279]","[None, None]",2018,3.0,0.0,0.0,,0.01,0.01,0.001,0.3,,,
