scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.15,128,"[-10.8386, -10.7804]","[None, None]",2005
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.33,128,"[-10.9009, -10.8826]","[None, None]",2006
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.25,192,"[-10.8782, -10.8501, -10.8109]","[None, None, None]",2007
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.3,128,"[-10.9707, -10.9377]","[None, None]",2008
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.18,192,"[-10.9259, -10.9, -10.8445]","[None, None, None]",2009
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.2,128,"[-10.92, -10.8731]","[None, None]",2010
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.08,128,"[-10.8951, -10.8627]","[None, None]",2011
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.18,192,"[-10.9674, -10.8963, -10.7818]","[None, None, None]",2012
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.02,128,"[-10.8392, -10.7943]","[None, None]",2013
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.92,192,"[-10.9918, -10.9287, -10.8403]","[None, None, None]",2014
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,10.97,192,"[-10.9588, -10.9308, -10.8942]","[None, None, None]",2015
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.28,192,"[-10.8868, -10.8739, -10.8463]","[None, None, None]",2016
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.28,192,"[-10.8891, -10.8533, -10.8008]","[None, None, None]",2017
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,3,11.25,192,"[-10.951, -10.9629, -10.8968]","[None, None, None]",2018
False,False,1e-06,1e-06,"(0.4, 0.3, 0.3)",64,4,0,2,7.22,128,"[-10.876, -10.812]","[None, None]",2019
