,measure_size,scratch,encoder_freeze,encoder_lr,cost_predictor_lr,weights,uncertainty_topk,grad_num,rand_num,phase,used_time,train_size,val_reg_r2,val_rank_r2,sampling_seed,rank_warmup_epochs,top-1,T_mc
3981,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.4289, 0.2196]","[None, None]",2011,100,0.0,20.0
3982,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.47,96,"[0.4976, 0.5379]","[None, None]",2012,100,1.0,20.0
3983,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,3,10.23,144,"[0.5272, 0.4527, 0.4869]","[None, None, None]",2013,100,0.0,20.0
3984,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.502],[None],2014,100,0.0,20.0
3985,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.68,96,"[0.6207, 0.4753]","[None, None]",2015,100,0.0,20.0
3986,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.4028, 0.3866]","[None, None]",2016,100,0.0,20.0
3987,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.6194, 0.6463]","[None, None]",2017,100,0.0,20.0
3988,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.5617, 0.4339]","[None, None]",2018,100,0.0,20.0
3989,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.5465],[None],2019,100,0.0,20.0
3990,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.29,48,[0.3614],[None],2000,200,1.0,20.0
3991,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,5,17.56,240,"[0.5676, 0.5724, 0.5265, 0.5261, 0.5753]","[None, None, None, None, None]",2001,200,1.0,20.0
3992,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.4673],[None],2002,200,0.0,20.0
3993,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.22,48,[0.5296],[None],2003,200,0.0,20.0
3994,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.16,48,[0.5405],[None],2004,200,0.0,20.0
3995,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.56,96,"[0.5783, 0.4805]","[None, None]",2005,200,0.0,20.0
3996,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.27,48,[0.6326],[None],2006,200,0.0,20.0
3997,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.72,96,"[0.6383, 0.557]","[None, None]",2007,200,0.0,20.0
3998,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,2,6.73,96,"[0.5768, 0.5306]","[None, None]",2008,200,0.0,20.0
3999,48,False,False,1e-05,0.0001,"(0.6, 0.1, 0.3)",0,4,0,1,3.28,48,[0.5844],[None],2009,200,0.0,20.0
